Customer,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Total,Segment
12882,1,50000,7783,2,1,3,213,6,Lost
12922,1,60000,9609,1,1,3,113,5,Lost
12957,1,70000,4163,4,1,4,414,9,Potential Loyalist
12964,1,70000,10935,1,1,4,114,6,Lost
12993,1,60000,2793,4,1,3,413,8,Potential Loyalist
13066,1,30000,3476,4,1,1,411,6,Promising
13073,1,60000,7699,2,1,3,213,6,Lost
13082,1,130000,6257,3,1,5,315,9,Other
13089,1,120000,11855,1,1,5,115,7,Lost
13122,1,80000,51,5,1,4,514,10,Potential Loyalist
13133,1,100000,6804,3,1,5,315,9,Other
13136,1,30000,6682,3,1,1,311,5,Other
13151,1,40000,8585,2,1,2,212,5,Lost
13154,1,40000,6608,3,1,2,312,6,Other
13176,1,130000,6479,3,1,5,315,9,Other
13216,1,60000,11196,1,1,3,113,5,Lost
13233,1,60000,9249,2,1,3,213,6,Lost
13283,1,80000,11484,1,1,4,114,6,Lost
13287,1,110000,8860,2,1,5,215,8,Lost
13296,1,110000,8660,2,1,5,215,8,Lost
13313,1,120000,8784,2,1,5,215,8,Lost
13314,1,120000,11481,1,1,5,115,7,Lost
13337,1,80000,321,5,1,4,514,10,Potential Loyalist
13343,1,90000,10775,1,1,5,115,7,Lost
13351,1,70000,9254,2,1,4,214,7,Lost
13353,1,60000,6709,3,1,3,313,7,Other
13382,1,70000,6866,3,1,4,314,8,Other
13388,1,60000,5457,3,1,3,313,7,Other
13390,1,70000,11658,1,1,4,114,6,Lost
13415,1,100000,3656,4,1,5,415,10,Potential Loyalist
13453,1,130000,7982,2,1,5,215,8,Lost
13466,1,80000,5994,3,1,4,314,8,Other
13507,1,10000,9154,2,1,1,211,4,Lost
13572,1,10000,7780,2,1,1,211,4,Lost
13585,1,80000,1411,5,1,4,514,10,Potential Loyalist
13586,1,80000,1020,5,1,4,514,10,Potential Loyalist
13620,1,70000,2579,4,1,4,414,9,Potential Loyalist
13662,1,20000,8187,2,1,1,211,4,Lost
13673,1,20000,3313,4,1,1,411,6,Promising
13683,1,30000,967,5,1,1,511,7,Promising
13687,1,40000,7548,2,1,2,212,5,Lost
13690,1,20000,4461,4,1,1,411,6,Promising
13714,1,20000,8582,2,1,1,211,4,Lost
13749,1,80000,2220,5,1,4,514,10,Potential Loyalist
13754,1,80000,2731,4,1,4,414,9,Potential Loyalist
13760,1,60000,10068,1,1,3,113,5,Lost
13813,1,30000,11166,1,1,1,111,3,Lost
13826,1,30000,9724,1,1,1,111,3,Lost
13873,1,70000,7144,3,1,4,314,8,Other
13886,1,70000,6066,3,1,4,314,8,Other
13907,1,80000,4808,4,1,4,414,9,Potential Loyalist
13911,1,80000,4973,3,1,4,314,8,Other
13920,1,50000,10024,1,1,3,113,5,Lost
13934,1,40000,10566,1,1,2,112,4,Lost
13942,1,60000,8914,2,1,3,213,6,Lost
13961,1,80000,8980,2,1,4,214,7,Lost
13981,1,10000,4724,4,1,1,411,6,Promising
14032,1,70000,1721,5,1,4,514,10,Potential Loyalist
14058,1,70000,9955,1,1,4,114,6,Lost
14063,1,70000,6113,3,1,4,314,8,Other
14077,1,30000,5801,3,1,1,311,5,Other
14090,1,30000,3931,4,1,1,411,6,Promising
14092,1,30000,6167,3,1,1,311,5,Other
14135,1,20000,8987,2,1,1,211,4,Lost
14154,1,30000,4767,4,1,1,411,6,Promising
14164,1,50000,7770,2,1,3,213,6,Lost
14177,1,80000,4663,4,1,4,414,9,Potential Loyalist
14189,1,90000,1416,5,1,5,515,11,Potential Loyalist
14191,1,160000,10516,1,1,5,115,7,Lost
14192,1,90000,10947,1,1,5,115,7,Lost
14193,1,100000,7426,2,1,5,215,8,Lost
14233,1,100000,5029,3,1,5,315,9,Other
14238,1,120000,303,5,1,5,515,11,Potential Loyalist
14271,1,30000,5945,3,1,1,311,5,Other
14278,1,130000,7876,2,1,5,215,8,Lost
14284,1,60000,7305,3,1,3,313,7,Other
14312,1,60000,8364,2,1,3,213,6,Lost
14332,1,30000,4620,4,1,1,411,6,Promising
14347,1,40000,2779,4,1,2,412,7,Promising
14389,1,60000,1358,5,1,3,513,9,Potential Loyalist
14417,1,60000,7406,2,1,3,213,6,Lost
14432,1,90000,6912,3,1,5,315,9,Other
14443,1,130000,5623,3,1,5,315,9,Other
14469,1,100000,9286,2,1,5,215,8,Lost
14493,1,70000,5157,3,1,4,314,8,Other
14495,1,40000,6851,3,1,2,312,6,Other
14507,1,100000,7841,2,1,5,215,8,Lost
14514,1,30000,799,5,1,1,511,7,Promising
14517,1,20000,11879,1,1,1,111,3,Lost
14544,1,10000,3372,4,1,1,411,6,Promising
14545,1,10000,55,5,1,1,511,7,Promising
14547,1,10000,7366,2,1,1,211,4,Lost
14554,1,20000,2696,4,1,1,411,6,Promising
14569,1,60000,4276,4,1,3,413,8,Potential Loyalist
14572,1,70000,7835,2,1,4,214,7,Lost
14592,1,60000,1437,5,1,3,513,9,Potential Loyalist
14602,1,80000,9580,1,1,4,114,6,Lost
14608,1,50000,940,5,1,3,513,9,Potential Loyalist
14633,1,60000,6265,3,1,3,313,7,Other
14657,1,80000,9852,1,1,4,114,6,Lost
14662,1,60000,12026,1,1,3,113,5,Lost
14669,1,80000,5429,3,1,4,314,8,Other
14682,1,70000,6562,3,1,4,314,8,Other
14696,1,10000,6200,3,1,1,311,5,Other
14754,1,40000,7751,2,1,2,212,5,Lost
14777,1,40000,9524,1,1,2,112,4,Lost
14785,1,30000,3942,4,1,1,411,6,Promising
14791,1,40000,73,5,1,2,512,8,Promising
14798,1,10000,9625,1,1,1,111,3,Lost
14804,1,10000,7624,2,1,1,211,4,Lost
14805,1,10000,4348,4,1,1,411,6,Promising
14813,1,20000,648,5,1,1,511,7,Promising
14832,1,40000,3062,4,1,2,412,7,Promising
14865,1,40000,6208,3,1,2,312,6,Other
14872,1,30000,6272,3,1,1,311,5,Other
14883,1,30000,9122,2,1,1,211,4,Lost
14887,1,30000,5337,3,1,1,311,5,Other
14900,1,40000,6496,3,1,2,312,6,Other
14913,1,40000,8197,2,1,2,212,5,Lost
14914,1,40000,4214,4,1,2,412,7,Promising
14926,1,30000,721,5,1,1,511,7,Promising
14927,1,30000,4842,4,1,1,411,6,Promising
14939,1,40000,8024,2,1,2,212,5,Lost
15019,1,30000,2088,5,1,1,511,7,Promising
15030,1,20000,2196,5,1,1,511,7,Promising
15194,1,120000,1176,5,1,5,515,11,Potential Loyalist
15214,1,100000,11812,1,1,5,115,7,Lost
15255,1,40000,279,5,1,2,512,8,Promising
15265,1,40000,3622,4,1,2,412,7,Promising
15272,1,40000,3699,4,1,2,412,7,Promising
15275,1,40000,361,5,1,2,512,8,Promising
15287,1,50000,11675,1,1,3,113,5,Lost
15292,1,60000,9446,2,1,3,213,6,Lost
15302,1,70000,8395,2,1,4,214,7,Lost
15313,1,60000,11730,1,1,3,113,5,Lost
15319,1,70000,10993,1,1,4,114,6,Lost
15372,1,80000,8587,2,1,4,214,7,Lost
15382,1,110000,4705,4,1,5,415,10,Potential Loyalist
15412,1,130000,3760,4,1,5,415,10,Potential Loyalist
15450,1,10000,8556,2,1,1,211,4,Lost
15465,1,10000,9308,2,1,1,211,4,Lost
15468,1,50000,10412,1,1,3,113,5,Lost
15501,1,70000,8473,2,1,4,214,7,Lost
15529,1,60000,8001,2,1,3,213,6,Lost
15532,1,60000,3320,4,1,3,413,8,Potential Loyalist
15555,1,60000,5947,3,1,3,313,7,Other
15559,1,60000,2163,5,1,3,513,9,Potential Loyalist
15580,1,60000,917,5,1,3,513,9,Potential Loyalist
15608,1,30000,7966,2,1,1,211,4,Lost
15612,1,30000,10802,1,1,1,111,3,Lost
15628,1,40000,3348,4,1,2,412,7,Promising
15629,1,10000,7941,2,1,1,211,4,Lost
15657,1,30000,5993,3,1,1,311,5,Other
15665,1,30000,3423,4,1,1,411,6,Promising
15682,1,80000,4613,4,1,4,414,9,Potential Loyalist
15740,1,80000,7717,2,1,4,214,7,Lost
15749,1,70000,9061,2,1,4,214,7,Lost
15752,1,80000,4981,3,1,4,314,8,Other
15758,1,130000,796,5,1,5,515,11,Potential Loyalist
15799,1,90000,10225,1,1,5,115,7,Lost
15814,1,40000,1618,5,1,2,512,8,Promising
15822,1,40000,4561,4,1,2,412,7,Promising
15839,1,30000,11447,1,1,1,111,3,Lost
15862,1,50000,3169,4,1,3,413,8,Potential Loyalist
15879,1,70000,439,5,1,4,514,10,Potential Loyalist
15895,1,60000,4884,3,1,3,313,7,Other
15922,1,150000,9733,1,1,5,115,7,Lost
15926,1,120000,10159,1,1,5,115,7,Lost
15940,1,100000,7433,2,1,5,215,8,Lost
15982,1,110000,807,5,1,5,515,11,Potential Loyalist
16007,1,90000,4873,4,1,5,415,10,Potential Loyalist
16009,1,170000,2492,4,1,5,415,10,Potential Loyalist
16020,1,40000,641,5,1,2,512,8,Promising
16043,1,10000,8103,2,1,1,211,4,Lost
16112,1,70000,10057,1,1,4,114,6,Lost
16122,1,40000,8830,2,1,2,212,5,Lost
16144,1,70000,11506,1,1,4,114,6,Lost
16145,1,70000,5202,3,1,4,314,8,Other
16151,1,60000,2571,4,1,3,413,8,Potential Loyalist
16154,1,70000,9231,2,1,4,214,7,Lost
16163,1,60000,80,5,1,3,513,9,Potential Loyalist
16179,1,80000,8066,2,1,4,214,7,Lost
16185,1,60000,9447,2,1,3,213,6,Lost
16188,1,20000,8286,2,1,1,211,4,Lost
16200,1,10000,9857,1,1,1,111,3,Lost
16209,1,50000,5198,3,1,3,313,7,Other
16217,1,60000,5929,3,1,3,313,7,Other
16245,1,80000,2146,5,1,4,514,10,Potential Loyalist
16247,1,60000,3873,4,1,3,413,8,Potential Loyalist
16259,1,10000,6317,3,1,1,311,5,Other
16337,1,60000,6247,3,1,3,313,7,Other
16377,1,80000,4877,3,1,4,314,8,Other
16390,1,30000,12025,1,1,1,111,3,Lost
16406,1,40000,5924,3,1,2,312,6,Other
16410,1,10000,5310,3,1,1,311,5,Other
16438,1,10000,11443,1,1,1,111,3,Lost
16466,1,20000,5370,3,1,1,311,5,Other
16468,1,30000,9667,1,1,1,111,3,Lost
16487,1,30000,3231,4,1,1,411,6,Promising
16489,1,30000,4633,4,1,1,411,6,Promising
16514,1,10000,11287,1,1,1,111,3,Lost
16549,1,30000,6467,3,1,1,311,5,Other
16559,1,10000,5076,3,1,1,311,5,Other
16614,1,80000,11466,1,1,4,114,6,Lost
16651,1,120000,6700,3,1,5,315,9,Other
16675,1,160000,3729,4,1,5,415,10,Potential Loyalist
16713,1,40000,4457,4,1,2,412,7,Promising
16725,1,30000,5201,3,1,1,311,5,Other
16751,1,60000,8313,2,1,3,213,6,Lost
16753,1,70000,887,5,1,4,514,10,Potential Loyalist
16773,1,60000,10361,1,1,3,113,5,Lost
16791,1,60000,2395,5,1,3,513,9,Potential Loyalist
16795,1,70000,6890,3,1,4,314,8,Other
16813,1,60000,123,5,1,3,513,9,Potential Loyalist
16867,1,130000,1939,5,1,5,515,11,Potential Loyalist
16871,1,90000,3180,4,1,5,415,10,Potential Loyalist
16890,1,60000,5857,3,1,3,313,7,Other
16895,1,40000,11153,1,1,2,112,4,Lost
16917,1,120000,10108,1,1,5,115,7,Lost
17000,1,70000,1792,5,1,4,514,10,Potential Loyalist
17012,1,60000,7359,2,1,3,213,6,Lost
17025,1,50000,7174,3,1,3,313,7,Other
17048,1,90000,4320,4,1,5,415,10,Potential Loyalist
17185,1,170000,1238,5,1,5,515,11,Potential Loyalist
17191,1,130000,672,5,1,5,515,11,Potential Loyalist
17197,1,90000,10097,1,1,5,115,7,Lost
17203,1,130000,11400,1,1,5,115,7,Lost
17230,1,80000,2648,4,1,4,414,9,Potential Loyalist
17238,1,80000,6597,3,1,4,314,8,Other
17260,1,90000,338,5,1,5,515,11,Potential Loyalist
17269,1,60000,3006,4,1,3,413,8,Potential Loyalist
17310,1,60000,8677,2,1,3,213,6,Lost
17319,1,70000,1893,5,1,4,514,10,Potential Loyalist
17324,1,100000,4342,4,1,5,415,10,Potential Loyalist
17337,1,40000,2334,5,1,2,512,8,Promising
17352,1,50000,10231,1,1,3,113,5,Lost
17369,1,30000,6427,3,1,1,311,5,Other
17436,1,60000,1511,5,1,3,513,9,Potential Loyalist
17450,1,80000,1943,5,1,4,514,10,Potential Loyalist
17458,1,70000,9535,1,1,4,114,6,Lost
17462,1,70000,11212,1,1,4,114,6,Lost
17471,1,80000,3487,4,1,4,414,9,Potential Loyalist
17482,1,40000,4351,4,1,2,412,7,Promising
17504,1,80000,1300,5,1,4,514,10,Potential Loyalist
17519,1,60000,11480,1,1,3,113,5,Lost
17522,1,120000,5120,3,1,5,315,9,Other
17531,1,60000,8610,2,1,3,213,6,Lost
17533,1,40000,9161,2,1,2,212,5,Lost
17541,1,40000,817,5,1,2,512,8,Promising
17546,1,70000,2429,4,1,4,414,9,Potential Loyalist
17650,1,40000,9950,1,1,2,112,4,Lost
17654,1,40000,7596,2,1,2,212,5,Lost
17657,1,40000,1975,5,1,2,512,8,Promising
17668,1,30000,4167,4,1,1,411,6,Promising
17699,1,60000,10444,1,1,3,113,5,Lost
17702,1,10000,10917,1,1,1,111,3,Lost
17703,1,10000,4201,4,1,1,411,6,Promising
17754,1,30000,10980,1,1,1,111,3,Lost
17793,1,40000,10754,1,1,2,112,4,Lost
17841,1,30000,2845,4,1,1,411,6,Promising
17843,1,10000,5227,3,1,1,311,5,Other
17845,1,20000,6056,3,1,1,311,5,Other
17848,1,30000,9331,2,1,1,211,4,Lost
17858,1,40000,4601,4,1,2,412,7,Promising
17864,1,60000,3399,4,1,3,413,8,Potential Loyalist
17882,1,20000,4826,4,1,1,411,6,Promising
17891,1,10000,7794,2,1,1,211,4,Lost
17894,1,20000,10405,1,1,1,111,3,Lost
17907,1,10000,778,5,1,1,511,7,Promising
17926,1,40000,3914,4,1,2,412,7,Promising
17960,1,40000,1918,5,1,2,512,8,Promising
17964,1,40000,5226,3,1,2,312,6,Other
17978,1,40000,6025,3,1,2,312,6,Other
17994,1,20000,4795,4,1,1,411,6,Promising
18012,1,40000,1022,5,1,2,512,8,Promising
18018,1,30000,5127,3,1,1,311,5,Other
18050,1,60000,1760,5,1,3,513,9,Potential Loyalist
18052,1,60000,959,5,1,3,513,9,Potential Loyalist
18058,1,20000,2331,5,1,1,511,7,Promising
18066,1,70000,5270,3,1,4,314,8,Other
18069,1,70000,9000,2,1,4,214,7,Lost
18105,1,60000,2022,5,1,3,513,9,Potential Loyalist
18140,1,130000,11042,1,1,5,115,7,Lost
18144,1,80000,3580,4,1,4,414,9,Potential Loyalist
18145,1,80000,2059,5,1,4,514,10,Potential Loyalist
18151,1,80000,331,5,1,4,514,10,Potential Loyalist
18153,1,100000,1683,5,1,5,515,11,Potential Loyalist
18160,1,130000,2091,5,1,5,515,11,Potential Loyalist
18172,1,130000,8390,2,1,5,215,8,Lost
18253,1,80000,6577,3,1,4,314,8,Other
18267,1,60000,1919,5,1,3,513,9,Potential Loyalist
18283,1,100000,9213,2,1,5,215,8,Lost
18294,1,90000,3958,4,1,5,415,10,Potential Loyalist
18299,1,70000,10026,1,1,4,114,6,Lost
18322,1,30000,1966,5,1,1,511,7,Promising
18329,1,30000,11345,1,1,1,111,3,Lost
18347,1,30000,5986,3,1,1,311,5,Other
18363,1,40000,5400,3,1,2,312,6,Other
18390,1,80000,6163,3,1,4,314,8,Other
18391,1,80000,2970,4,1,4,414,9,Potential Loyalist
18411,1,60000,5275,3,1,3,313,7,Other
18423,1,80000,9585,1,1,4,114,6,Lost
18435,1,70000,1402,5,1,4,514,10,Potential Loyalist
18484,1,80000,924,5,1,4,514,10,Potential Loyalist
18491,1,70000,7825,2,1,4,214,7,Lost
18494,1,110000,8158,2,1,5,215,8,Lost
18504,1,70000,3123,4,1,4,414,9,Potential Loyalist
18517,1,100000,10359,1,1,5,115,7,Lost
18545,1,40000,5872,3,1,2,312,6,Other
18560,1,70000,10681,1,1,4,114,6,Lost
18572,1,60000,4625,4,1,3,413,8,Potential Loyalist
18577,1,60000,3259,4,1,3,413,8,Potential Loyalist
18580,1,60000,9619,1,1,3,113,5,Lost
18594,1,80000,7766,2,1,4,214,7,Lost
18607,1,60000,9440,2,1,3,213,6,Lost
18613,1,70000,9365,2,1,4,214,7,Lost
18626,1,40000,10061,1,1,2,112,4,Lost
18649,1,30000,10756,1,1,1,111,3,Lost
18674,1,80000,10807,1,1,4,114,6,Lost
18711,1,70000,2537,4,1,4,414,9,Potential Loyalist
18740,1,80000,3412,4,1,4,414,9,Potential Loyalist
18752,1,40000,7972,2,1,2,212,5,Lost
18783,1,80000,3683,4,1,4,414,9,Potential Loyalist
18847,1,60000,1170,5,1,3,513,9,Potential Loyalist
18858,1,60000,10507,1,1,3,113,5,Lost
18891,1,40000,7664,2,1,2,212,5,Lost
18910,1,30000,1868,5,1,1,511,7,Promising
18935,1,130000,11312,1,1,5,115,7,Lost
18949,1,70000,1649,5,1,4,514,10,Potential Loyalist
18952,1,100000,8686,2,1,5,215,8,Lost
18976,1,40000,9402,2,1,2,212,5,Lost
19002,1,60000,10072,1,1,3,113,5,Lost
19012,1,80000,6856,3,1,4,314,8,Other
19057,1,120000,11801,1,1,5,115,7,Lost
19066,1,130000,11058,1,1,5,115,7,Lost
19117,1,60000,10572,1,1,3,113,5,Lost
19133,1,50000,801,5,1,3,513,9,Potential Loyalist
19143,1,80000,7492,2,1,4,214,7,Lost
19147,1,40000,11578,1,1,2,112,4,Lost
19163,1,70000,5581,3,1,4,314,8,Other
19164,1,70000,12000,1,1,4,114,6,Lost
19174,1,30000,7479,2,1,1,211,4,Lost
19183,1,10000,355,5,1,1,511,7,Promising
19193,1,40000,6434,3,1,2,312,6,Other
19217,1,30000,129,5,1,1,511,7,Promising
19223,1,30000,5691,3,1,1,311,5,Other
19228,1,40000,6886,3,1,2,312,6,Other
19235,1,50000,1340,5,1,3,513,9,Potential Loyalist
19255,1,10000,10396,1,1,1,111,3,Lost
19273,1,20000,8100,2,1,1,211,4,Lost
19280,1,120000,11938,1,1,5,115,7,Lost
19291,1,10000,11517,1,1,1,111,3,Lost
19299,1,50000,7675,2,1,3,213,6,Lost
19305,1,10000,11333,1,1,1,111,3,Lost
19331,1,20000,2851,4,1,1,411,6,Promising
19364,1,40000,551,5,1,2,512,8,Promising
19389,1,30000,7796,2,1,1,211,4,Lost
19399,1,40000,7137,3,1,2,312,6,Other
19413,1,60000,1041,5,1,3,513,9,Potential Loyalist
19441,1,40000,8064,2,1,2,212,5,Lost
19442,1,50000,12018,1,1,3,113,5,Lost
19445,1,10000,1515,5,1,1,511,7,Promising
19461,1,10000,3420,4,1,1,411,6,Promising
19475,1,40000,4538,4,1,2,412,7,Promising
19477,1,40000,10425,1,1,2,112,4,Lost
19482,1,30000,3645,4,1,1,411,6,Promising
19487,1,30000,8705,2,1,1,211,4,Lost
19491,1,30000,7287,3,1,1,311,5,Other
19508,1,10000,1366,5,1,1,511,7,Promising
19543,1,70000,5412,3,1,4,314,8,Other
19562,1,60000,8537,2,1,3,213,6,Lost
19608,1,80000,7297,3,1,4,314,8,Other
19618,1,70000,4042,4,1,4,414,9,Potential Loyalist
19626,1,70000,6366,3,1,4,314,8,Other
19634,1,40000,9221,2,1,2,212,5,Lost
19650,1,30000,11090,1,1,1,111,3,Lost
19660,1,80000,1880,5,1,4,514,10,Potential Loyalist
19661,1,90000,1064,5,1,5,515,11,Potential Loyalist
19664,1,100000,2877,4,1,5,415,10,Potential Loyalist
19675,1,20000,189,5,1,1,511,7,Promising
19731,1,80000,6573,3,1,4,314,8,Other
19741,1,80000,11255,1,1,4,114,6,Lost
19747,1,50000,6548,3,1,3,313,7,Other
19748,1,20000,9276,2,1,1,211,4,Lost
19758,1,60000,10413,1,1,3,113,5,Lost
19784,1,80000,7843,2,1,4,214,7,Lost
19812,1,70000,11341,1,1,4,114,6,Lost
19856,1,60000,8052,2,1,3,213,6,Lost
19884,1,60000,6847,3,1,3,313,7,Other
19889,1,70000,2052,5,1,4,514,10,Potential Loyalist
19914,1,80000,8261,2,1,4,214,7,Lost
20000,1,60000,3646,4,1,3,413,8,Potential Loyalist
20053,1,40000,1763,5,1,2,512,8,Promising
20060,1,30000,10998,1,1,1,111,3,Lost
20076,1,10000,562,5,1,1,511,7,Promising
20084,1,20000,2319,5,1,1,511,7,Promising
20147,1,30000,1070,5,1,1,511,7,Promising
20171,1,20000,11047,1,1,1,111,3,Lost
20196,1,60000,4287,4,1,3,413,8,Potential Loyalist
20228,1,100000,1643,5,1,5,515,11,Potential Loyalist
20236,1,60000,2567,4,1,3,413,8,Potential Loyalist
20277,1,30000,8158,2,1,1,211,4,Lost
20296,1,60000,6599,3,1,3,313,7,Other
20310,1,60000,11713,1,1,3,113,5,Lost
20339,1,130000,8965,2,1,5,215,8,Lost
20343,1,90000,2570,4,1,5,415,10,Potential Loyalist
20361,1,50000,5705,3,1,3,313,7,Other
20370,1,70000,4030,4,1,4,414,9,Potential Loyalist
20376,1,70000,10461,1,1,4,114,6,Lost
20380,1,60000,8877,2,1,3,213,6,Lost
20401,1,50000,4740,4,1,3,413,8,Potential Loyalist
20414,1,60000,11060,1,1,3,113,5,Lost
20417,1,30000,9167,2,1,1,211,4,Lost
20421,1,40000,7073,3,1,2,312,6,Other
20430,1,70000,9189,2,1,4,214,7,Lost
20504,1,40000,3741,4,1,2,412,7,Promising
20505,1,40000,2592,4,1,2,412,7,Promising
20514,1,70000,5986,3,1,4,314,8,Other
20518,1,70000,1796,5,1,4,514,10,Potential Loyalist
20528,1,40000,325,5,1,2,512,8,Promising
